Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",CP_Radial_D5.0mm_P2.00mm,2,22u,x
"C10, C3, C4, C8",0402,4,0.1u,C77020
C5,0402,1,10u,C76991
C6,0402,1,20p,C76959
"C7, C9",CP_Radial_D8.0mm_P3.50mm,2,470u,x
D1,D_SMA,1,CDBA240LL-HF,C2886093
D2,LED_D3.0mm,1,LED_POWER,x
D3,LED_D3.0mm,1,LED_R,x
D4,LED_D3.0mm,1,LED_Y,x
D5,LED_D3.0mm,1,LED_G,x
"D6, D7, D8",LED_D3.0mm,3,U4_ALT1,x
F1,0603,1,"BSMD0603-050-6V
",C883095
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Vin_1,x
J10,PinHeader_1x03_P2.54mm_Vertical,1,IO27_GPIO1,x
J11,PinHeader_1x03_P2.54mm_Vertical,1,IO32_GPIO2,x
J12,PinHeader_1x03_P2.54mm_Vertical,1,IO5_GPIO3(PU),x
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Power_SW,x
J3,AMASS_XT60-M_1x02_P7.20mm_Vertical,1,Vin_XT,x
J4,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,C428495
J5,JST_ZH_B4B-ZH-A_1x04_P1.50mm_Vertical,1,Encorder_L,x
J6,JST_ZH_B4B-ZH-A_1x04_P1.50mm_Vertical,1,Encorder_R,x
J7,TerminalBlock_bornier-2_P5.08mm,1,MOTOR_L,x
J8,TerminalBlock_bornier-2_P5.08mm,1,MOTOR_R,x
J9,PinHeader_1x03_P2.54mm_Vertical,1,IO4_GPIO0,x
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Power_SW_DIisable,x
"JP10, JP12, JP14",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,3,LED_SEL1,x
"JP11, JP13, JP15",SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,3,PT_SEL1,x
JP16,SolderJumper-2_TVAF06-A020B-R_COMPATIBLE,1,Reset,x
JP17,D_DO-41_SOD81_P7.62mm_Horizontal,1,USB_Vs,x
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,L1_PU,x
JP3,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,L2_PU,x
JP4,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,R1_PU,x
JP5,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,R2_PU,x
JP6,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Vs_SEL0,x
JP7,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Vs_SEL1,x
JP8,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Vs_SEL2,x
JP9,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Vs_SEL3,x
"Q1, Q2, Q3",LED_D3.0mm,3,U4_ALT2,x
R1,0402,1,18k,C316875
"R10, R11, R12, R13, R17, R18, R19, R20, R22, R24, R26, R6, R8",0402,13,1k,C159872
"R14, R15, R16, R7, R9",0402,5,560,C427239
R2,0402,1,2k,C173345
"R21, R23, R25",0805,3,50,C2828866
"R3, R4",0402,2,22,C400511
R5,0402,1,4.7k,C159885
U1,DCDC_Conv_CN39033A,1,CN39033A,x
"U10, U8, U9",Everlight_ITR1201SR10AR,3,ITR8307-S17-TR8,C81632
U2,MSOP-10_3x3mm_P0.5mm,1,CH340X,C3035748
U3,TO-252-2,1,UZ1085L-33-TN3-R,C125622
U4,Texas_R-PUQFN-N12,1,TXB0104RUT,C105266
"U5, U6",SOP-8_3.9x4.9mm_P1.27mm,2,CP3119MDTR,C42395499
U7,ESP32-WROOM-32_39P-TH,1,ESP32-WROOM-32,x
