Designator,Mid X,Mid Y,Rotation,Layer
C1,104.753922,-113.075,180.0,top
C10,125.04881,-144.2,270.0,bottom
C2,136.24881,-109.205113,90.0,top
C3,124.02381,-110.75,270.0,bottom
C4,125.24881,-110.75,90.0,bottom
C5,118.24881,-116.0,180.0,bottom
C6,128.24881,-106.075,90.0,bottom
C7,114.08624713292355,-147.76256286707647,225.0,top
C8,114.64881,-148.2,270.0,bottom
C9,122.64880986707645,-147.92003986707647,315.0,top
D1,115.74881,-111.0,0.0,bottom
D2,106.24881,-118.27,270.0,top
D3,136.74881,-124.52,90.0,top
D4,136.74881,-119.52,90.0,top
D5,136.74881,-114.52,90.0,top
D6,122.74881,-157.73,90.0,bottom
D7,109.74881,-157.73,90.0,bottom
D8,135.74881,-157.73,90.0,bottom
F1,110.24881,-110.0,270.0,bottom
J1,125.04881,-134.45,180.0,top
J10,108.74881,-131.54,0.0,top
J11,130.74881,-131.54,0.0,top
J12,136.74881,-131.54,0.0,top
J2,118.04881,-134.45,180.0,top
J3,120.74881,-139.0,0.0,top
J4,110.74881,-102.835,180.0,bottom
J5,104.74881,-138.4,180.0,top
J6,134.74881,-138.4,180.0,top
J7,104.74881,-145.46,270.0,top
J8,134.74881,-145.46,270.0,top
J9,102.74881,-131.54,0.0,top
JP17,109.74881,-113.5000002115813,120.0,top
Q1,116.74881,-157.73,90.0,bottom
Q2,103.74881,-157.73,90.0,bottom
Q3,129.74881,-157.73,90.0,bottom
R1,108.74881,-112.5,180.0,bottom
R10,128.19881,-123.0,270.0,bottom
R11,117.74881,-124.0,0.0,bottom
R12,129.74881,-119.7,180.0,bottom
R13,129.46881,-123.0,90.0,bottom
R14,134.74881,-126.5,0.0,bottom
R15,134.74881,-121.5,0.0,bottom
R16,134.74881,-116.5,0.0,bottom
R17,106.64881,-139.8,180.0,bottom
R18,106.64881,-137.0,180.0,bottom
R19,136.48881,-140.0,0.0,bottom
R2,110.74881,-112.5,180.0,bottom
R20,136.48881,-136.75,0.0,bottom
R21,121.24881,-152.5,0.0,bottom
R22,117.24881,-152.5,270.0,bottom
R23,108.24881,-152.5,0.0,bottom
R24,104.24881,-152.5,270.0,bottom
R25,134.24881,-152.5,0.0,bottom
R26,130.24881,-152.5,270.0,bottom
R3,116.54881,-107.8,180.0,bottom
R4,116.54881,-108.775,180.0,bottom
R5,120.97381,-111.3,270.0,bottom
R6,118.24881,-115.05,0.0,bottom
R7,126.74881,-106.075,90.0,bottom
R8,118.32381,-106.85,0.0,bottom
R9,104.24881,-115.0,0.0,bottom
U1,108.24881,-114.9,90.0,top
U10,132.74881,-157.0,0.0,bottom
U2,122.44881,-107.975,90.0,bottom
U3,129.24881,-112.0,90.0,bottom
U4,119.74881,-128.7,270.0,bottom
U5,110.24881,-145.46,270.0,bottom
U6,129.24881,-145.46,90.0,bottom
U7,123.74881,-116.115,0.0,top
U8,119.74881,-157.0,0.0,bottom
U9,106.74881,-157.0,0.0,bottom
