Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4, C7, C8",0402,4,0.1u,C77020
"C2, C3",CP_Elec_6.3x5.4,2,22u,C131161
"C5, C6",CP_Radial_D8.0mm_P3.50mm,2,470u,x
D1,LED_D3.0mm,1,LED_POWER,x
D2,LED_D3.0mm,1,LED_R,x
D3,LED_D3.0mm,1,LED_Y,x
D4,LED_D3.0mm,1,LED_G,x
D5,D_SMA,1,CDBA240LL-HF,C2886093
F1,0603,1,"BSMD0603-050-6V
",C883095
J1,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Vin_1,C160352
J2,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Vin_2,C160352
J3,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Power_SW,C160352
J4,USB_Micro-B_Amphenol_10103594-0001LF_Horizontal,1,USB_B_Micro,C428495
J5,TerminalBlock_bornier-2_P5.08mm,1,MOTOR_R,C8465
J6,TerminalBlock_bornier-2_P5.08mm,1,Motor_L,C8465
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Vin_2_DIisable,x
JP2,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,Power_SW_DIisable,x
R1,0402,1,4.7k,C159885
"R10, R11, R15, R9",0402,4,1k,C159872
"R12, R13",0402,2,22,C400511
"R14, R2, R3, R4, R5",0402,5,560,C427239
"R6, R7, R8",0402,3,150,C159952
SW1,SW_Push_1P1T_XKB_TS-1187A,1,SW_Reset,C318884
U1,MSOP-10_3x3mm_P0.5mm,1,CH340X,C3035748
U2,TO-252-2,1,UZ1085L-33-TN3-R,C125622
U3,ESP32-WROOM-32,1,ESP32-WROOM-32,-
"U4, U5, U6",Everlight_ITR1201SR10AR,3,ITR8307-S17-TR8,C81632
"U7, U8",SOP-8_3.9x4.9mm_P1.27mm,2,CP2119LDTR,C42395498
